com.samsung.shealth.badge,6320001,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
23507,2025-09-28 02:56:19.692,11007,,2,,2025-09-28 02:56:25.705,2025-09-28 02:56:25.705,,cycling_goal_200K_accumulated,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,69d48d49-1b80-48db-a045-e65c1d1f063e,tracker.exercise,2025-09-28 02:56:25.692,93416e85-ab32-423e-9e78-7c059f5fb4cc,
,2025-10-01 00:00:00.000,,,1,,2025-09-30 23:09:07.560,2025-09-30 23:09:07.560,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-10-01 00:00:00.000,421bdf0a-cda0-4bfa-94ca-989176ce9604,
1,2025-10-01 15:00:00.000,,,1,,2025-10-01 23:25:21.653,2025-10-01 23:25:21.653,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-10-02 14:59:59.999,b859e0cb-608d-4405-8a39-0c9d75ba772f,
,2025-10-02 00:00:00.000,,,1,,2025-10-01 23:25:23.401,2025-10-01 23:25:23.401,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-10-02 00:00:00.000,c5e8300e-a919-459a-b8db-fa8bcf0667b9,
,2025-10-09 06:31:22.261,1001,,1,,2025-10-09 06:41:41.663,2025-10-09 06:41:41.663,,exercise_goal_first_achieve,,,UTC+0900,,SiE8w+zjCP,com.sec.android.app.shealth,c72dd816-61b1-412c-9877-ceb5f7f0b089,tracker.exercise,2025-10-09 06:41:24.961,188d4f0b-c43a-4402-96e1-1c750c81fa5f,
1,2025-10-10 15:00:00.000,,,1,,2025-10-10 23:18:13.643,2025-10-10 23:18:13.643,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-10-11 14:59:59.999,08cafca3-35ab-439d-a54e-01d6e7810574,
,2025-10-11 00:00:00.000,,,1,,2025-10-10 23:18:16.906,2025-10-10 23:18:16.906,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-10-11 00:00:00.000,e0915c7f-eefb-4f19-8821-0d3216e31cd3,
1,2025-10-22 15:00:00.000,,,1,,2025-10-22 23:00:08.135,2025-10-22 23:00:08.135,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-10-23 14:59:59.999,c9cce971-2974-42d3-9901-d84e10af73f6,
1,2025-10-27 15:00:00.000,,,1,,2025-10-27 23:01:52.291,2025-10-27 23:01:52.291,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-10-28 14:59:59.999,89df082e-9bce-4f14-9dc0-8de5b0fc9c50,
1,2025-10-28 15:00:00.000,,,1,,2025-10-28 20:41:40.249,2025-10-28 20:41:40.249,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-10-29 14:59:59.999,f91ed603-3ca9-4fdd-a753-c251aa8c4023,
,2025-10-29 00:00:00.000,,,1,,2025-10-28 20:41:41.975,2025-10-28 20:41:41.975,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-10-29 00:00:00.000,cc4187f0-19fc-4ba9-b48d-563a57c45dc9,
1,2025-10-31 15:00:00.000,,,1,,2025-10-31 23:54:50.838,2025-10-31 23:54:50.838,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-11-01 14:59:59.999,16da8fa8-71f7-4234-b072-8884e84750ea,
